owner,name
Dewey Decimal System,000 - Computer Science
000 - Computer Science,020 - Library Science
000 - Computer Science,030 - General Reference
Dewey Decimal System,100 - Philosophy
100 - Philosophy,110 - Metaphysics
100 - Philosophy,120 - Epistemology
100 - Philosophy,150 - Psychology
Dewey Decimal System,200 - Religion
200 - Religion,220 - Bible
200 - Religion,290 - Other Religions
Dewey Decimal System,300 - Social Sciences
300 - Social Sciences,320 - Political Science
300 - Social Sciences,330 - Economics
300 - Social Sciences,370 - Education
Dewey Decimal System,400 - Language
400 - Language,420 - English
400 - Language,430 - German
Dewey Decimal System,500 - Science
500 - Science,510 - Mathematics
500 - Science,530 - Physics
500 - Science,570 - Biology
Dewey Decimal System,600 - Technology
600 - Technology,610 - Medicine
600 - Technology,620 - Engineering
Dewey Decimal System,700 - Arts
700 - Arts,780 - Music
700 - Arts,790 - Recreation
Dewey Decimal System,800 - Literature
800 - Literature,810 - American Literature
800 - Literature,820 - English Literature